,label
2063,0
3009,0
268,1
1980,0
481,1
1567,0
561,1
1917,0
205,1
1682,0
2619,0
1516,1
3202,0
1428,1
1382,1
2801,0
347,1
2748,0
1145,1
658,1
590,1
3053,0
1647,0
2013,0
1724,0
1881,0
89,1
2170,0
644,1
760,1
1050,1
177,1
823,1
1543,1
1234,1
2231,0
3227,0
1117,1
2279,0
1520,1
2509,0
2533,0
3192,0
785,1
2,1
2515,0
2426,0
1864,0
108,1
2074,0
1942,0
2586,0
171,1
412,1
1906,0
416,1
1367,1
2914,0
1294,1
2278,0
2866,0
2151,0
364,1
2654,0
2612,0
2275,0
740,1
73,1
2544,0
3233,0
1265,1
2082,0
312,1
2412,0
856,1
378,1
2466,0
1492,1
154,1
1216,1
772,1
2424,0
2832,0
2960,0
1951,0
930,1
2823,0
2596,0
308,1
1001,1
631,1
143,1
965,1
1927,0
3051,0
2368,0
1080,1
1405,1
632,1
1456,1
2423,0
1851,0
2692,0
955,1
2699,0
1802,0
1953,0
2189,0
178,1
498,1
340,1
2205,0
484,1
1669,0
1738,0
2572,0
198,1
2999,0
2101,0
2728,0
1853,0
877,1
1166,1
1689,0
1340,1
1220,1
3190,0
1339,1
2639,0
759,1
170,1
1597,0
1356,1
773,1
1673,0
2568,0
2781,0
2703,0
1598,0
992,1
45,1
2218,0
467,1
2281,0
2168,0
2406,0
1843,0
2365,0
3185,0
1496,1
319,1
184,1
2268,0
2964,0
304,1
2062,0
2330,0
2201,0
839,1
3038,0
1171,1
2714,0
744,1
539,1
1154,1
1642,0
801,1
2759,0
2096,0
1135,1
2570,0
1422,1
210,1
2057,0
2200,0
65,1
863,1
2381,0
3103,0
2207,0
203,1
1132,1
2858,0
1021,1
2943,0
1026,1
2828,0
341,1
2896,0
875,1
1506,1
1120,1
3224,0
372,1
576,1
942,1
211,1
520,1
1475,1
939,1
889,1
1258,1
2799,0
2161,0
2419,0
1325,1
354,1
1811,0
2792,0
96,1
2134,0
2815,0
1644,0
589,1
3062,0
2986,0
129,1
1635,0
1985,0
3145,0
2148,0
2583,0
2704,0
370,1
1788,0
1820,0
994,1
881,1
737,1
231,1
377,1
2634,0
2433,0
432,1
1361,1
1378,1
1591,0
1143,1
172,1
1876,0
814,1
948,1
16,1
2026,0
2020,0
2457,0
367,1
1406,1
2899,0
3027,0
2140,0
3024,0
2741,0
1848,0
2475,0
1935,0
2376,0
1624,0
2588,0
542,1
1459,1
1668,0
1903,0
552,1
362,1
549,1
2363,0
81,1
1730,0
3041,0
355,1
2083,0
554,1
693,1
2416,0
649,1
2707,0
2688,0
420,1
1229,1
1089,1
2460,0
960,1
1164,1
371,1
2870,0
2244,0
1575,0
1484,1
1858,0
258,1
769,1
2061,0
2018,0
114,1
1816,0
1594,0
957,1
679,1
56,1
3109,0
435,1
1057,1
155,1
2313,0
1016,1
60,1
2077,0
782,1
35,1
2726,0
1650,0
1060,1
358,1
1123,1
3194,0
524,1
1200,1
2527,0
265,1
1585,0
1664,0
1968,0
1518,1
2226,0
2545,0
2315,0
336,1
1156,1
887,1
494,1
580,1
2992,0
2310,0
3169,0
1189,1
2655,0
212,1
2462,0
1064,1
75,1
2601,0
1312,1
1031,1
2988,0
247,1
1595,0
3033,0
1500,1
1919,0
186,1
2287,0
2015,0
2056,0
2242,0
1622,0
2890,0
1075,1
2483,0
1781,0
1655,0
32,1
2771,0
1124,1
2482,0
445,1
464,1
3213,0
2179,0
1681,0
1809,0
1946,0
2690,0
243,1
1704,0
401,1
2032,0
1984,0
450,1
1227,1
2540,0
2512,0
471,1
2359,0
2946,0
2800,0
1674,0
2225,0
1787,0
1833,0
611,1
1407,1
3149,0
3077,0
2919,0
2122,0
2449,0
3117,0
3151,0
2785,0
1218,1
1776,0
1498,1
2848,0
2097,0
1729,0
540,1
110,1
1631,0
510,1
1613,0
1995,0
2594,0
2045,0
2092,0
1719,0
1607,0
2592,0
78,1
2306,0
1996,0
313,1
1307,1
911,1
697,1
466,1
1019,1
363,1
1842,0
3032,0
1344,1
1360,1
2751,0
2069,0
2674,0
3187,0
1524,1
1034,1
83,1
79,1
662,1
1439,1
3166,0
919,1
1440,1
2622,0
2872,0
3069,0
2253,0
808,1
1510,1
656,1
1921,0
1442,1
3072,0
858,1
1803,0
2328,0
2644,0
2358,0
844,1
833,1
1614,0
213,1
2847,0
131,1
439,1
2761,0
1609,0
853,1
448,1
2884,0
2605,0
2963,0
2626,0
1727,0
103,1
523,1
1102,1
1821,0
1415,1
165,1
2770,0
907,1
2716,0
1860,0
2520,0
1741,0
395,1
625,1
695,1
947,1
761,1
2311,0
1383,1
2228,0
2786,0
1401,1
645,1
3008,0
3186,0
3177,0
1882,0
771,1
2913,0
51,1
1375,1
1121,1
2954,0
1035,1
2286,0
2145,0
2769,0
111,1
183,1
613,1
2453,0
1706,0
1557,1
3135,0
1711,0
1178,1
2129,0
397,1
1291,1
1630,0
2789,0
1743,0
2136,0
2086,0
2370,0
2415,0
571,1
3246,0
2856,0
2490,0
2309,0
1534,1
2922,0
1874,0
356,1
608,1
239,1
3147,0
2730,0
2167,0
1814,0
374,1
3061,0
1937,0
1321,1
1125,1
1527,1
2476,0
2620,0
729,1
1391,1
2895,0
1408,1
2952,0
2264,0
382,1
2555,0
1502,1
2853,0
1320,1
2736,0
1233,1
2236,0
2529,0
681,1
2478,0
1274,1
2364,0
123,1
660,1
1796,0
2303,0
1960,0
2837,0
230,1
901,1
2598,0
765,1
2635,0
2653,0
2617,0
1745,0
787,1
2149,0
2862,0
2560,0
421,1
2668,0
1873,0
2971,0
2138,0
798,1
1870,0
2007,0
626,1
495,1
2667,0
1616,0
1782,0
2206,0
1890,0
790,1
2812,0
2414,0
3042,0
2276,0
2615,0
417,1
742,1
2127,0
1214,1
492,1
1909,0
1169,1
1342,1
824,1
2684,0
2585,0
1481,1
3082,0
3074,0
2879,0
1024,1
2461,0
592,1
2752,0
3022,0
2927,0
1797,0
2521,0
127,1
2747,0
2437,0
403,1
150,1
3132,0
2394,0
1437,1
1629,0
2632,0
2442,0
62,1
2336,0
2256,0
2400,0
95,1
959,1
2191,0
2936,0
1576,0
2942,0
2153,0
236,1
222,1
3043,0
2393,0
1810,0
120,1
1685,0
2380,0
193,1
2283,0
181,1
389,1
968,1
3106,0
1545,1
669,1
3126,0
1365,1
1394,1
331,1
614,1
1286,1
266,1
1932,0
2199,0
1807,0
225,1
105,1
2413,0
1508,1
3195,0
630,1
2068,0
870,1
2290,0
2098,0
1186,1
2489,0
1891,0
1755,0
1926,0
707,1
2623,0
2737,0
2349,0
2220,0
1688,0
284,1
1659,0
920,1
1433,1
3031,0
2628,0
734,1
1812,0
2392,0
2354,0
3216,0
922,1
1402,1
3050,0
167,1
2469,0
2273,0
3014,0
12,1
1546,1
617,1
1092,1
90,1
612,1
3068,0
1404,1
857,1
2675,0
777,1
1638,0
1986,0
2352,0
3078,0
28,1
1522,1
1066,1
1911,0
2538,0
74,1
515,1
1309,1
2227,0
2002,0
2157,0
1584,0
1517,1
116,1
2341,0
1072,1
1799,0
2947,0
1600,0
622,1
2920,0
409,1
1623,0
115,1
288,1
2878,0
1181,1
337,1
46,1
747,1
2968,0
753,1
462,1
1938,0
673,1
1201,1
2911,0
424,1
325,1
664,1
350,1
447,1
709,1
1924,0
1722,0
1221,1
1149,1
387,1
1369,1
1337,1
754,1
2186,0
451,1
1194,1
699,1
2247,0
1608,0
830,1
950,1
2869,0
2444,0
1734,0
1413,1
1409,1
3229,0
2867,0
1177,1
3108,0
2006,0
1253,1
2477,0
21,1
1305,1
2440,0
2298,0
2796,0
671,1
3049,0
1941,0
845,1
694,1
2682,0
1353,1
1133,1
869,1
604,1
834,1
2661,0
627,1
902,1
1747,0
2051,0
3218,0
321,1
696,1
1179,1
624,1
3164,0
2173,0
1011,1
1480,1
1090,1
848,1
2722,0
780,1
605,1
174,1
1202,1
2269,0
2463,0
100,1
1243,1
741,1
334,1
1705,0
594,1
1333,1
2214,0
3144,0
1551,1
2712,0
1542,1
2755,0
327,1
1933,0
640,1
2152,0
2042,0
1468,1
1838,0
460,1
1046,1
1398,1
1562,1
1975,0
2633,0
419,1
738,1
1879,0
1389,1
1438,1
497,1
375,1
975,1
1209,1
2857,0
404,1
2467,0
1425,1
93,1
1769,0
2221,0
1849,0
827,1
428,1
1889,0
2790,0
3015,0
282,1
343,1
2683,0
2547,0
1113,1
1574,0
691,1
0,1
1582,0
1707,0
1416,1
2021,0
2003,0
1993,0
1131,1
2304,0
1247,1
2881,0
2375,0
2150,0
2261,0
3243,0
1159,1
246,1
3226,0
2910,0
2685,0
1671,0
929,1
2970,0
1461,1
1971,0
365,1
2296,0
736,1
26,1
1441,1
3090,0
680,1
1250,1
3,1
2182,0
837,1
2403,0
292,1
698,1
1048,1
3000,0
2417,0
1667,0
1963,0
1249,1
2274,0
1298,1
1868,0
2387,0
1443,1
2671,0
603,1
1289,1
2502,0
63,1
1579,0
1883,0
990,1
1384,1
237,1
650,1
1967,0
112,1
1348,1
804,1
1556,1
577,1
1834,0
126,1
2888,0
2959,0
851,1
2742,0
2185,0
2915,0
7,1
2550,0
854,1
2679,0
3092,0
2949,0
407,1
3209,0
2405,0
153,1
1566,1
2391,0
2353,0
1004,1
2660,0
2873,0
280,1
3005,0
400,1
1596,0
1497,1
2516,0
1479,1
1800,0
2009,0
504,1
2582,0
1744,0
903,1
2040,0
1672,0
550,1
1862,0
1805,0
2921,0
1130,1
945,1
163,1
1660,0
1690,0
2384,0
2107,0
3137,0
1514,1
449,1
941,1
2834,0
3070,0
1532,1
1847,0
437,1
1314,1
786,1
873,1
739,1
1006,1
1844,0
586,1
1306,1
348,1
2471,0
1028,1
1163,1
2511,0
3141,0
1541,1
2701,0
573,1
647,1
595,1
1251,1
1558,1
1308,1
470,1
800,1
281,1
932,1
732,1
2763,0
2880,0
3150,0
1144,1
1617,0
2900,0
2503,0
584,1
2195,0
160,1
1111,1
2798,0
1915,0
859,1
952,1
3131,0
1331,1
1219,1
1215,1
2676,0
606,1
164,1
2154,0
1040,1
1978,0
2665,0
3111,0
329,1
2011,0
2528,0
2546,0
3130,0
1429,1
3153,0
2141,0
809,1
433,1
1107,1
2091,0
860,1
274,1
967,1
2758,0
3210,0
2139,0
1346,1
2813,0
885,1
556,1
908,1
1381,1
2117,0
2562,0
509,1
2388,0
221,1
1297,1
146,1
1777,0
1053,1
1822,0
2851,0
508,1
323,1
1561,1
176,1
2852,0
1908,0
168,1
1400,1
3179,0
1392,1
2257,0
2177,0
2237,0
136,1
1470,1
1278,1
1973,0
894,1
197,1
2338,0
1483,1
1792,0
2084,0
767,1
2280,0
2693,0
2081,0
1112,1
3138,0
2850,0
865,1
2389,0
1085,1
1447,1
199,1
429,1
3225,0
1823,0
1795,0
2924,0
1970,0
730,1
2967,0
297,1
2121,0
807,1
2595,0
1565,1
2997,0
1172,1
3094,0
3101,0
821,1
2711,0
1241,1
1563,1
3085,0
623,1
1445,1
1718,0
1162,1
2260,0
1640,0
3099,0
2603,0
2775,0
2749,0
1022,1
1750,0
291,1
2022,0
1740,0
2282,0
1007,1
67,1
24,1
216,1
2860,0
1910,0
2783,0
1153,1
2159,0
166,1
3178,0
207,1
2322,0
2089,0
591,1
1176,1
1720,0
1863,0
525,1
2335,0
469,1
1350,1
2169,0
2811,0
1531,1
928,1
1896,0
2721,0
1619,0
1469,1
1141,1
2934,0
1913,0
956,1
1488,1
25,1
1134,1
2197,0
925,1
1552,1
2744,0
843,1
1645,0
2937,0
2646,0
1020,1
2187,0
749,1
3052,0
2371,0
180,1
1272,1
2498,0
1434,1
607,1
1352,1
2344,0
1904,0
1899,0
94,1
770,1
637,1
1304,1
2334,0
2536,0
2492,0
1208,1
1395,1
1578,0
1198,1
275,1
2854,0
1152,1
1206,1
2080,0
1104,1
307,1
2818,0
2059,0
872,1
86,1
2826,0
2753,0
2830,0
1435,1
2610,0
209,1
2787,0
1966,0
2642,0
1987,0
2171,0
2782,0
931,1
2146,0
2425,0
130,1
1723,0
2071,0
954,1
555,1
2418,0
1930,0
1536,1
2431,0
201,1
2965,0
2023,0
368,1
973,1
1634,0
2435,0
816,1
1954,0
1316,1
1905,0
256,1
1472,1
1699,0
2217,0
1605,0
1329,1
560,1
1877,0
373,1
2957,0
2767,0
2839,0
3002,0
1684,0
1167,1
2024,0
1204,1
2916,0
972,1
1155,1
2036,0
3208,0
1071,1
3012,0
774,1
324,1
2251,0
84,1
2681,0
2956,0
1589,0
2659,0
2446,0
1920,0
91,1
3154,0
430,1
2827,0
2339,0
2105,0
1345,1
257,1
888,1
3206,0
1466,1
3114,0
1641,0
388,1
2383,0
273,1
756,1
1925,0
3125,0
1956,0
3196,0
2176,0
802,1
2076,0
1207,1
2930,0
2558,0
2723,0
151,1
2292,0
714,1
2591,0
544,1
639,1
2745,0
423,1
2958,0
659,1
797,1
3221,0
2008,0
99,1
2898,0
2496,0
1871,0
2046,0
755,1
976,1
2163,0
1940,0
2825,0
2120,0
2893,0
537,1
1701,0
2897,0
2222,0
2135,0
2599,0
705,1
2362,0
2648,0
3142,0
2647,0
1828,0
1778,0
277,1
1033,1
1731,0
763,1
835,1
1653,0
2607,0
2732,0
