,label
907,0
382,1
1355,0
1546,0
331,1
989,0
262,1
893,0
6,1
266,1
769,1
38,1
901,0
1181,0
1549,0
545,1
118,1
783,1
652,1
1488,0
706,1
105,1
1259,0
484,1
1540,0
630,1
683,1
20,1
870,0
242,1
50,1
162,1
915,0
441,1
867,0
731,1
1079,0
948,0
1054,0
1148,0
822,0
301,1
723,1
172,1
707,1
658,1
1042,0
284,1
1142,0
1385,0
1579,0
920,0
1291,0
1311,0
1282,0
668,1
1474,0
788,1
210,1
344,1
306,1
217,1
1565,0
922,0
289,1
378,1
1410,0
167,1
421,1
225,1
616,1
12,1
522,1
1203,0
68,1
90,1
1218,0
1317,0
380,1
857,0
745,1
1360,0
372,1
258,1
1359,0
614,1
962,0
304,1
1430,0
1409,0
410,1
1543,0
1027,0
42,1
208,1
532,1
887,0
1087,0
490,1
596,1
74,1
515,1
285,1
1063,0
1307,0
858,0
71,1
561,1
179,1
1387,0
109,1
1498,0
493,1
116,1
293,1
76,1
48,1
643,1
775,1
772,1
1326,0
1140,0
622,1
1302,0
409,1
636,1
1571,0
288,1
1413,0
337,1
1161,0
1580,0
1012,0
46,1
747,1
753,1
462,1
1411,0
1494,0
1295,0
424,1
325,1
664,1
350,1
447,1
1356,0
1041,0
1137,0
1489,0
754,1
138,1
451,1
699,1
1357,0
830,0
950,0
1019,0
1254,0
396,1
1253,0
1224,0
1358,0
21,1
766,1
392,1
250,1
1189,0
1059,0
671,1
1574,0
1200,0
1100,0
869,0
604,1
1341,0
1081,0
627,1
902,0
856,0
700,1
1560,0
709,1
1567,0
321,1
1583,0
1361,0
624,1
125,1
1011,0
1090,0
848,0
780,1
605,1
1577,0
1324,0
415,1
100,1
741,1
334,1
1310,0
834,0
833,0
1495,0
939,0
1396,0
1585,0
1159,0
1393,0
640,1
104,1
815,0
998,0
1075,0
1501,0
460,1
1046,0
585,1
1129,0
1525,0
497,1
702,1
375,1
975,0
1244,0
404,1
419,1
1305,0
173,1
690,1
827,0
428,1
1186,0
1379,0
718,1
282,1
1199,0
1120,0
1292,0
635,1
738,1
499,1
1098,0
1113,0
691,1
0,1
926,0
1131,0
1263,0
1267,0
327,1
102,1
213,1
852,0
246,1
1573,0
1294,0
1441,0
1209,0
1344,0
365,1
248,1
736,1
26,1
836,0
1445,0
680,1
1232,0
3,1
134,1
837,0
355,1
292,1
698,1
1048,0
1365,0
1451,0
369,1
1319,0
226,1
339,1
1375,0
603,1
454,1
63,1
990,0
237,1
650,1
112,1
1570,0
1334,0
577,1
126,1
1008,0
1368,0
1273,0
851,0
694,1
137,1
1009,0
1298,0
7,1
502,1
854,0
947,0
631,1
929,0
1328,0
407,1
1555,0
357,1
153,1
343,1
305,1
1428,0
612,1
1258,0
280,1
1372,0
1545,0
1080,0
400,1
468,1
504,1
534,1
1016,0
903,0
1279,0
550,1
1422,0
1303,0
1130,0
945,0
163,1
336,1
59,1
1118,0
1490,0
1539,0
449,1
855,0
1255,0
1248,0
1424,0
437,1
786,1
873,0
1471,0
819,0
1243,0
1006,0
586,1
941,0
348,1
1314,0
1028,0
1163,0
463,1
1231,0
1160,0
1492,0
653,1
573,1
647,1
595,1
890,0
1504,0
470,1
800,0
281,1
932,0
732,1
715,1
832,0
951,0
1144,0
1037,0
1285,0
455,1
584,1
147,1
160,1
1111,0
750,1
1117,0
859,0
952,0
1340,0
1219,0
1215,0
628,1
606,1
164,1
106,1
1040,0
617,1
1337,0
329,1
480,1
498,1
1485,0
1369,0
93,1
809,0
433,1
1107,0
43,1
860,0
1399,0
967,0
710,1
1558,0
1521,0
765,1
885,0
556,1
1518,0
69,1
514,1
509,1
340,1
221,1
1297,0
146,1
1313,0
1053,0
1138,0
803,0
508,1
1429,0
176,1
804,0
168,1
1384,0
1469,0
129,1
189,1
136,1
1454,0
1278,0
894,0
197,1
290,1
36,1
767,1
232,1
645,1
33,1
1112,0
1542,0
1068,0
865,0
341,1
1085,0
199,1
429,1
1572,0
876,0
730,1
919,0
297,1
73,1
807,0
547,1
949,0
1470,0
1448,0
1568,0
821,0
663,1
1241,0
1440,0
623,1
1162,0
212,1
1035,0
1453,0
1482,0
727,1
701,1
1022,0
1526,0
234,1
1007,0
978,0
67,1
24,1
216,1
812,0
735,1
1153,0
1373,0
111,1
166,1
1524,0
207,1
274,1
41,1
591,1
1419,0
525,1
287,1
469,1
1350,0
121,1
1591,0
1252,0
928,0
673,1
1141,0
886,0
956,0
25,1
1134,0
149,1
925,0
1176,0
696,1
843,0
889,0
598,1
1020,0
139,1
749,1
1284,0
1004,0
323,1
180,1
1272,0
450,1
607,1
1043,0
1352,0
296,1
1293,0
1250,0
94,1
1456,0
637,1
1304,0
286,1
488,1
444,1
1208,0
1395,0
1198,0
275,1
806,0
1152,0
1206,0
32,1
1104,0
307,1
770,1
11,1
872,0
1067,0
86,1
778,1
1060,0
1581,0
1082,0
1065,0
782,1
1435,0
562,1
209,1
1172,0
739,1
594,1
123,1
734,1
931,0
98,1
377,1
130,1
23,1
1407,0
1503,0
555,1
370,1
383,1
201,1
917,0
368,1
973,0
387,1
816,0
1316,0
256,1
1221,0
1119,0
1472,0
169,1
1329,0
560,1
373,1
909,0
719,1
791,1
954,0
1251,0
1167,0
1204,0
868,0
972,0
1155,0
1554,0
1071,0
964,0
774,1
324,1
203,1
84,1
633,1
908,0
611,1
398,1
91,1
1106,0
430,1
779,1
1143,0
291,1
57,1
1345,0
257,1
888,0
1552,0
1466,0
1066,0
388,1
335,1
273,1
756,1
1512,0
1077,0
1541,0
128,1
802,0
28,1
1207,0
882,0
1483,0
510,1
675,1
151,1
244,1
714,1
543,1
544,1
639,1
697,1
1289,0
1312,0
423,1
910,0
1171,0
659,1
797,1
1569,0
1201,0
99,1
850,0
448,1
1455,0
755,1
976,0
115,1
777,1
72,1
845,0
537,1
849,0
174,1
87,1
551,1
1510,0
705,1
314,1
1420,0
600,1
1496,0
1094,0
599,1
277,1
1033,0
1383,0
763,1
835,0
1216,0
559,1
684,1
